match_id,date,stage,group,home_slot,away_slot,home_code,away_code,venue,home_dep_match,away_dep_match
G01,2026-06-11,Group Stage,A,Mexico,South Africa,,,Mexico City Stadium,,
G02,2026-06-11,Group Stage,A,Korea Republic,Czechia,,,Estadio Guadalajara,,
G03,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,,,Toronto Stadium,,
G04,2026-06-12,Group Stage,D,USA,Paraguay,,,Los Angeles Stadium,,
G05,2026-06-13,Group Stage,C,Haiti,Scotland,,,Boston Stadium,,
G06,2026-06-13,Group Stage,D,Australia,Türkiye,,,BC Place Vancouver,,
G07,2026-06-13,Group Stage,C,Brazil,Morocco,,,New York New Jersey Stadium,,
G08,2026-06-13,Group Stage,B,Qatar,Switzerland,,,San Francisco Bay Area Stadium,,
G09,2026-06-14,Group Stage,E,Côte d'Ivoire,Ecuador,,,Philadelphia Stadium,,
G10,2026-06-14,Group Stage,E,Germany,Curaçao,,,Houston Stadium,,
G11,2026-06-14,Group Stage,F,Netherlands,Japan,,,Dallas Stadium,,
G12,2026-06-14,Group Stage,F,Sweden,Tunisia,,,Estadio Monterrey,,
G13,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,,,Miami Stadium,,
G14,2026-06-15,Group Stage,H,Spain,Cabo Verde,,,Atlanta Stadium,,
G15,2026-06-15,Group Stage,G,IR Iran,New Zealand,,,Los Angeles Stadium,,
G16,2026-06-15,Group Stage,G,Belgium,Egypt,,,Seattle Stadium,,
G17,2026-06-16,Group Stage,I,France,Senegal,,,New York New Jersey Stadium,,
G18,2026-06-16,Group Stage,I,Iraq,Norway,,,Boston Stadium,,
G19,2026-06-16,Group Stage,J,Argentina,Algeria,,,Kansas City Stadium,,
G20,2026-06-16,Group Stage,J,Austria,Jordan,,,San Francisco Bay Area Stadium,,
G21,2026-06-17,Group Stage,L,Ghana,Panama,,,Toronto Stadium,,
G22,2026-06-17,Group Stage,L,England,Croatia,,,Dallas Stadium,,
